site_id,province,latitude,longitude
ST-3187,Oriental Mindoro,13.0392,121.4798
ST-1579,Metro Manila,14.5931,120.97458
ST-4500,Pampanga,15.16238,120.5524
ST-0656,Metro Manila,14.6361,121.10118
ST-0443,Zambales,14.84212,120.28802
ST-3270,Batangas,13.7917,120.9907243
ST-1905,Negros Occidental,10.6695,122.9873
ST-0483,Metro Manila,14.55386,121.04696
ST-4725,Pampanga,14.99827209,120.7037259
ST-0784,Rizal,14.55825,121.2106
ST-4803,Davao Oriental,6.626898,126.080272
ST-5295,,0,0
ST-2087,Iloilo,10.72251,122.5545
ST-1027,Ilocos Sur,17.19254,120.4473
ST-1555,Metro Manila,14.5853,121.0881
ST-2976,Rizal,14.548,121.19
ST-4504,Pangasinan,16.06707,120.3353
ST-2278,Metro Manila,14.6462,120.9777
ST-5090,Camarines Sur,0,0
ST-0264,Cavite,14.2814,120.86838
ST-3493,Surigao Del Sur,8.3678,126.3381
ST-1128,Metro Manila,14.6414,121.0403
ST-2062,Metro Manila,14.73972,120.98929
ST-3354,Rizal,14.5597246,121.2058
ST-1743,Pampanga,15.14529,120.59492
ST-2358,Metro Manila,14.6209,121.0499
ST-3133,Pangasinan,16.0193,120.2315
ST-4814,Misamis Oriental,8.479957,124.725189
ST-4706,Bulacan,14.92268635,121.029295
ST-3230,Capiz,11.4953,122.6046
ST-0732,La Union,16.5284,120.33
ST-3423,North Cotabato,7.198,124.5381
ST-0699,Pangasinan,16.0415,120.334
ST-4567,Southern Leyte,10.156137,125.123392
ST-3910,Misamis Oriental,8.78669,125.0951
ST-5035,,0,0
ST-5165,,0,0
ST-0481,Metro Manila,14.55549,121.0432
ST-3613,Pampanga,15.1148,120.773
ST-0652,Metro Manila,14.7337,121.06751
ST-2854,Antique,11.7198,122.095
ST-5182,,0,0
ST-3428,Metro Manila,14.7123,120.9672
ST-4640,Batangas,13.93979,120.77517
ST-4300,Davao del Norte,7.432026,125.797009
ST-4093,Metro Manila,14.465736,121.04389
ST-5016,,0,0
ST-0449,Metro Manila,14.6109,121.079
ST-2993,Cebu,10.2985,123.8974
ST-0424,Tarlac,15.3326,120.59053
ST-2338,Pampanga,15.16847,120.59611
ST-2555,Metro Manila,14.58485,121.06523
ST-3396,Cagayan,17.6141,121.7297
ST-5388,,0,0
ST-3303,Cebu,9.6251,123.4792
ST-3358,Ilocos Sur,16.9623,120.4452
ST-0098,Metro Manila,14.60716,120.9672
ST-4818,Bataan,14.703067,120.537791
ST-4253,Bulacan,14.812258,121.07644
ST-4409,Nueva Ecija,15.78977,120.9979
ST-3057,Laguna,14.211935,121.1292715
ST-3382,Rizal,14.5914,121.1385
ST-0561,Tarlac,15.496,120.5964
ST-4760,Cavite,14.132191,120.846675
ST-2142,Metro Manila,14.5546,120.99723
ST-1658,Zambales,14.84501,120.2906
