site_id,province,region,down_duration,latitude,longitude
ST-3494,Davao del Norte,Davao Region (Region XI),41:58.5,7.587,125.823
ST-2284,Davao Del Sur,Davao Region (Region XI),47:21.3,7.032,125.5135
ST-1834,Davao Del Sur,Davao Region (Region XI),49:49.5,7.0585,125.6013
ST-4411,Davao Del Sur,Davao Region (Region XI),18:53.4,7.096971899,125.6176926
ST-1846,Davao Del Sur,Davao Region (Region XI),18:53.7,7.0978,125.61937
ST-2383,Davao Del Sur,Davao Region (Region XI),51:43.2,7.05346,125.59772
ST-4812,Davao del Sur,Davao Region (Region XI),41:58.5,6.709308,125.216393
ST-2641,Davao Del Sur,Davao Region (Region XI),18:58.0,7.06766,125.6178
ST-2113,Davao Del Sur,Davao Region (Region XI),41:11.5,7.0716,125.61184
ST-4262,Davao Oriental,Davao Region (Region XI),14:11.2,7.209691,126.533642
ST-4803,Davao Oriental,Davao Region (Region XI),46:20.2,6.626898,126.080272
ST-4028,General Santos,SOCCSKSARGEN (Region XII),44:37.8,6.119149,125.179672
ST-2697,Ilocos Norte,Ilocos Region (Region I),51:43.2,18.33289,120.61836
ST-3308,Ilocos Norte,Ilocos Region (Region I),41:58.5,18.1564,120.6466
ST-1027,Ilocos Sur,Ilocos Region (Region I),48:03.7,17.19254,120.4473
ST-3358,Ilocos Sur,Ilocos Region (Region I),28:17.1,16.9623,120.4452
ST-2851,Ilocos Sur,Ilocos Region (Region I),03:34.4,17.5602,120.3851
ST-1475,Iloilo,Western Visayas (Region VI),37:57.3,10.7162,122.56216
ST-1619,Iloilo,Western Visayas (Region VI),42:10.7,10.69203,122.4773
ST-2015,Iloilo,Western Visayas (Region VI),10:26.1,10.76819,122.5365
ST-1678,Iloilo,Western Visayas (Region VI),02:52.0,10.64236,122.2364
ST-2977,Iloilo,Western Visayas (Region VI),19:06.0,10.693818,122.498676
ST-3523,Iloilo,Western Visayas (Region VI),24:59.1,10.8813,122.4854
ST-2087,Iloilo,Western Visayas (Region VI),04:04.6,10.72251,122.5545
ST-1584,Iloilo,Western Visayas (Region VI),48:43.7,10.68689,122.51647
ST-1574,Iloilo,Western Visayas (Region VI),40:48.8,10.69301,122.57226
ST-2853,Iloilo,Western Visayas (Region VI),49:29.5,10.7739,122.5418
ST-4620,Ilo-Ilo,Western Visayas (Region VI),18:55.1,10.878308,122.597901
ST-3283,Isabela,Cagayan Valley (Region II),19:01.5,16.6965,121.6444
ST-1039,La Union,Ilocos Region (Region I),19:00.0,16.89376,120.4238
ST-2378,La Union,Ilocos Region (Region I),19:05.1,16.2411,120.40596
ST-1820,La Union,Ilocos Region (Region I),18:23.7,16.5904,120.3197
ST-3417,La Union,Ilocos Region (Region I),49:28.6,16.6206,120.3165
ST-0732,La Union,Ilocos Region (Region I),16:04.8,16.5284,120.33
ST-3329,La Union,Ilocos Region (Region I),43:38.7,16.8224,120.403
ST-1515,La Union,Ilocos Region (Region I),18:58.0,16.61517,120.31664
ST-3432,Laguna,CALABARZON (Region IV-A),41:11.5,14.26491,121.437887
ST-3614,Laguna,CALABARZON (Region IV-A),14:11.2,14.3386,121.4827
ST-0494,Laguna,CALABARZON (Region IV-A),46:20.2,14.17278,121.24316
ST-3334,Laguna,CALABARZON (Region IV-A),44:37.8,14.3006,121.1076
ST-1830,Laguna,CALABARZON (Region IV-A),51:43.2,14.34322,121.04483
ST-1810,Laguna,CALABARZON (Region IV-A),41:58.5,14.3647,121.0573
ST-3057,Laguna,CALABARZON (Region IV-A),48:03.7,14.211935,121.1292715
ST-3232,Laguna,CALABARZON (Region IV-A),28:17.1,14.1823,121.1765
ST-2037,Laguna,CALABARZON (Region IV-A),03:34.4,14.2797,121.1364
ST-0519,Laguna,CALABARZON (Region IV-A),37:57.3,14.1634,121.2411
ST-2435,Laguna,CALABARZON (Region IV-A),42:10.7,14.0659,121.2883
ST-2515,Laguna,CALABARZON (Region IV-A),10:26.1,14.35423,121.06167
ST-3515,Laguna,CALABARZON (Region IV-A),02:52.0,14.2778,121.0561
ST-3318,Lanao Del Norte,Northern Mindanao (Region X),19:01.5,8.1859,124.164
ST-3389,Lanao Del Norte,Northern Mindanao (Region X),19:00.0,8.2818,124.266
ST-3422,Lanao Del Norte,Northern Mindanao (Region X),19:05.1,7.897527,123.768922
ST-3704,Lanao del Norte,Northern Mindanao (Region X),18:23.7,8.1904,124.0226
ST-4089,Leyte,Eastern Visayas (Region VIII),49:28.6,10.837955,121.959897
ST-3555,Leyte,Eastern Visayas (Region VIII),46:01.9,11.1851,124.5613
ST-3585,Leyte,Eastern Visayas (Region VIII),19:03.2,10.9271,124.4381
ST-3461,Metro Manila,National Capital Region (NCR),20:16.1,14.7467,120.996
ST-1848,Metro Manila,National Capital Region (NCR),21:46.1,14.56736,121.02773
ST-0627,Metro Manila,National Capital Region (NCR),09:48.5,14.55391,121.0221
ST-3868,Metro Manila,National Capital Region (NCR),17:27.1,14.637146,120.993896
ST-2141,Metro Manila,National Capital Region (NCR),05:03.8,14.57565,120.98753
ST-0037,Metro Manila,National Capital Region (NCR),23:39.0,14.72193,121.03886
ST-1234,Metro Manila,National Capital Region (NCR),18:57.4,14.5698,120.98618
ST-0167,Metro Manila,National Capital Region (NCR),41:58.5,14.5616,121.0281
ST-0033,Metro Manila,National Capital Region (NCR),47:21.3,14.61766,120.99502
ST-3591,Metro Manila,National Capital Region (NCR),49:49.5,14.5439532,121.0651
ST-3550,Metro Manila,National Capital Region (NCR),18:53.4,14.5812,120.9946
ST-0742,Metro Manila,National Capital Region (NCR),18:53.7,14.6025,120.9905
ST-3325,Metro Manila,National Capital Region (NCR),51:43.2,14.4147,121.0384
ST-2452,Metro Manila,National Capital Region (NCR),41:58.5,14.6094,120.99282
ST-0365,Metro Manila,National Capital Region (NCR),18:58.0,14.53543,121.0474
ST-1740,Metro Manila,National Capital Region (NCR),41:11.5,14.58933,120.99692
ST-4525,Metro Manila,National Capital Region (NCR),14:11.2,14.65783,121.0456
ST-1889,Metro Manila,National Capital Region (NCR),46:20.2,14.69549,121.10944
ST-1709,Metro Manila,National Capital Region (NCR),44:37.8,14.60114,121.05435
ST-3209,Metro Manila,National Capital Region (NCR),51:43.2,14.5637,121.0164
ST-5110,Metro Manila,National Capital Region (NCR),41:58.5,14.60894,120.98306
ST-1599,Metro Manila,National Capital Region (NCR),48:03.7,14.60013,120.97513
ST-0570,Metro Manila,National Capital Region (NCR),28:17.1,14.6004,121.04768
ST-3440,Metro Manila,National Capital Region (NCR),03:34.4,14.5609,120.9971
ST-3439,Metro Manila,National Capital Region (NCR),37:57.3,14.5578,120.9903
ST-2144,Metro Manila,National Capital Region (NCR),42:10.7,14.5602,121.0631
ST-1694,Metro Manila,National Capital Region (NCR),10:26.1,14.65774,121.0298
ST-0104,Metro Manila,National Capital Region (NCR),02:52.0,14.6123,121.00859
ST-2412,Metro Manila,National Capital Region (NCR),19:06.0,14.64546,120.95318
ST-3171,Metro Manila,National Capital Region (NCR),19:01.5,14.6124,120.9882
ST-2842,Metro Manila,National Capital Region (NCR),19:00.0,14.6572,121.0022
ST-3340,Metro Manila,National Capital Region (NCR),19:05.1,14.5898,121.0895
ST-3563,Metro Manila,National Capital Region (NCR),18:23.7,14.567329,121.0394
ST-0420,Metro Manila,National Capital Region (NCR),49:28.6,14.578,121.0578
ST-0022,Metro Manila,National Capital Region (NCR),16:04.8,14.62405,120.98922
ST-0349,Metro Manila,National Capital Region (NCR),43:38.7,14.6635,121.00209
ST-2735,Metro Manila,National Capital Region (NCR),18:58.0,14.6343,121.0378
ST-3098,Metro Manila,National Capital Region (NCR),41:11.5,14.5675,121.0316
ST-3734,Metro Manila,National Capital Region (NCR),14:11.2,14.417879,121.04467
ST-0648,Metro Manila,National Capital Region (NCR),46:20.2,14.56541,121.04657
